article,year,n_species,species,type,origin,sowing_density,metric
cox2006,,5,SINAR,plants,,,weed_density
cox2006,,5,SINAR,plants,,,weed_height
rueda2011,2008,NA,,plants,,,weed_percent_control
monks1996,1992,3,PANTE,plants,,,weed_percent_control
monks1996,1992,3,CASOB,plants,,,weed_percent_control
monks1996,1992,3,IPOSS,plants,,,weed_percent_control
monks1996,1993,3,PANTE,plants,,,weed_percent_control
monks1996,1993,3,CASOB,plants,,,weed_percent_control
monks1996,1993,3,IPOSS,plants,,,weed_percent_control
zhang1996,1992,NA,NA,plants,,,NA
nurse2007,,3,CHEAL,plants,,,weed_ag_biomass
nurse2007,,3,SETVI,plants,,,weed_ag_biomass
nurse2007,,3,AMBEL,plants,,,weed_ag_biomass
kolb2012,,NA,NA,plants,,,weed_density
gholamhoseini2013,,1,AMARE,plants,planted,8,weed_density
iffat2010,2005,6,RUMDE,plants,planted,,weed_density
iffat2010,2005,6,COPDI,plants,planted,,weed_density
iffat2010,2005,6,MEDPO,plants,planted,,weed_density
iffat2010,2005,6,CHEAL,plants,planted,,weed_density
iffat2010,2005,6,POAAN,plants,planted,,weed_density
iffat2010,2005,6,PHAMI,plants,planted,,weed_density
scott1995,,3,ERYRE,plants,natural,,weed_density
scott1995,,3,OLEOLA,plants,natural,,weed_density
scott1995,,3,LAMAM,plants,natural,,weed_density
epperlein2014,,1,LEGSV,plants,planted,,NA
garcia2007,,22,POLAV,plants,natural,,
garcia2007,,22,CONAR,plants,natural,,
garcia2007,,22,GALAP,plants,natural,,
garcia2007,,22,ANYCL,plants,natural,,
garcia2007,,22,ANGAR,plants,natural,,
garcia2007,,22,VICVI,plants,natural,,
garcia2007,,22,RUMOB,plants,natural,,
garcia2007,,22,CERGL,plants,natural,,
garcia2007,,22,VERHE,plants,natural,,
garcia2007,,22,CIRAR,plants,natural,,
garcia2007,,22,VAAPY,plants,natural,,
garcia2007,,22,MALSY,plants,natural,,
garcia2007,,22,LACSE,plants,natural,,
garcia2007,,22,SLYMA,plants,natural,,
garcia2007,,22,PHAMI,plants,natural,,
garcia2007,,22,PHACA,plants,natural,,
garcia2007,,22,LINLA,plants,natural,,
garcia2007,,22,SILVU,plants,natural,,
garcia2007,,22,ANTAR,plants,natural,,
garcia2007,,22,AVEST,plants,natural,,
garcia2007,,22,CICIN,plants,natural,,
garcia2007,,22,SONAS,plants,natural,,
iqbal1999,1993,3,PHAMI,plants,planted,0,weed_height
iqbal1999,1993,3,PHAMI,plants,planted,75,weed_n_uptake
iqbal1999,1993,3,PHAMI,plants,planted,150,
iqbal1999,1993,3,PHAMI,plants,planted,300,
iqbal1999,1993,3,PHAMI,plants,planted,600,
iqbal1999,1993,3,CHEAL,plants,planted,0,
iqbal1999,1993,3,CHEAL,plants,planted,75,
iqbal1999,1993,3,CHEAL,plants,planted,150,
iqbal1999,1993,3,CHEAL,plants,planted,300,
iqbal1999,1993,3,CHEAL,plants,planted,600,
iqbal1999,1993,3,SINAR,plants,planted,0,
iqbal1999,1993,3,SINAR,plants,planted,75,
iqbal1999,1993,3,SINAR,plants,planted,150,
iqbal1999,1993,3,SINAR,plants,planted,300,
iqbal1999,1993,3,SINAR,plants,planted,600,
ponce1995,,NA,NA,plants,natural,NA,weed_density
ponce1995,,NA,NA,plants,natural,NA,weed_ag_biomass
khaliq2013,,NA,AVEFA,plants,natural,NA,weed_ag_biomass
khaliq2013,,NA,PHAMI,plants,natural,NA,weed_density
khaliq2013,,NA,COPDI,plants,natural,NA,
khaliq2013,,NA,RUMDE,plants,natural,NA,
khaliq2013,,NA,MEUIN,plants,natural,NA,
khaliq2013,,NA,FUMIN,plants,natural,NA,
khaliq2013,,NA,ANGAR,plants,natural,NA,
bijanzadeh2010,,NA,NA,plants,natural,NA,weed_ag_biomass
hamouz2013,,,GALAP,plants,natural,NA,weed_density
hamouz2013,,,CIRAR,plants,natural,NA,weed_coverage
hamouz2013,,,MATIN,plants,natural,NA,weed_patchiness_index
hamouz2013,,,other_dicot,plants,natural,NA,
hamouz2013,,,other_monocot,plants,natural,NA,
