article,year,n_species,species,gmo,gmo_type,density,fertilizer,soil_work,weed_control,treatment_timing,herbicide,application_rate,n_treatments,metric,adjustment
gower2003,1999,1,ZEAMX,TRUE,glyph_resistant,70633,NA,ploughing,chemical,POST,glyphosate,,1,crop_yield,15.5_moisture
gower2003,1998,1,ZEAMX,TRUE,glyph_resistant,73197,NA,ploughing,chemical,POST,glyphosate,,2,crop_yield,15.5_moisture
gower2003,1999,1,ZEAMX,TRUE,glyph_resistant,70633,NA,ploughing,chemical,POST,glyphosate,,2,crop_yield,15.5_moisture
solie1991,1989,1,TRZAW,FALSE,NA,1807391,TRUE,ploughing,,,,,,crop_yield,13.5_moisture
solie1991,1990,1,TRZAW,FALSE,NA,1807391,TRUE,ploughing,,,,,,crop_yield,13.5_moisture
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,crop_yield,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,crop_yield,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,crop_yield,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,n_ears,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,n_ears,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,n_ears,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,n_rows,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,n_rows,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,n_rows,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernel_weight,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernel_weight,NA
cox2006,2003,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernel_weight,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,crop_yield,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,crop_yield,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,crop_yield,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,crop_leaf_area,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,n_ears,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,n_ears,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,n_ears,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,n_rows,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,n_rows,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,n_rows,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernels_per_row,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernels_per_plant,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,EPOST,glyphosate,,1,kernel_weight,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,MPOST,glyphosate,,1,kernel_weight,NA
cox2006,2004,1,ZEAMX,TRUE,glyph_resistant,88000,TRUE,ploughing,chemical,LPOST,glyphosate,,1,kernel_weight,NA
rueda2011,2008,1,TRZAW,FALSE,NA,4316159,TRUE,ploughing,chemical,NA,NA,,NA,crop_leaf_cover,NA
rueda2011,2008,1,TRZAW,FALSE,NA,4316159,TRUE,ploughing,chemical,NA,NA,,NA,crop_yield,12.5_moisture
rueda2011,2008,1,TRZAW,FALSE,NA,4316159,TRUE,ploughing,harrowing,NA,NA,,NA,weed_density,NA
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,nicosulfron,35,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,nicosulfron,35,1,crop_yield,15_moisture
monks1996,1992,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,nicosulfron,35,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,ac263222,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,ac263222,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,imazethapyr,36,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,imazethapyr,72,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,EPOST,nicosulfron,35,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,MPOST,nicosulfron,35,1,crop_yield,15_moisture
monks1996,1993,1,ZEAMX,TRUE,imidazolinone_resistant,NA,NA,NA,chemical,LPOST,nicosulfron,35,1,crop_yield,15_moisture
zhang1996,1992,1,ZEAMX,FALSE,NA,55000,TRUE,ploughing,no_control,NA,NA,,1,crop_yield,15.5_moisture
zhang1996,1992,1,ZEAMX,FALSE,NA,55000,TRUE,ploughing,interrow_cultivation,NA,NA,,1,crop_yield,15.5_moisture
zhang1996,1992,1,ZEAMX,FALSE,NA,55000,TRUE,ploughing,chemical,PRE,atrazine,,1,crop_yield,15.5_moisture
zhang1996,1992,1,ZEAMX,FALSE,NA,55000,TRUE,ploughing,chemical,PRE,metolachlor,,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,8.75,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,8.75,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,17.5,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,17.5,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,35,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,35,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,70,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,70,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,105,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,105,1,crop_yield,15.5_moisture
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,140,1,crop_injury,
nurse2007,2001,1,ZEAMX,FALSE,NA,76000,,ploughing,chemical,POST,foramsulfuron,140,1,crop_yield,15.5_moisture
kolb2012,,1,TRZAW,FALSE,NA,4000000,TRUE,ploughing,mechanic,PRE,no_herbicide,NA,1,crop_yield,NA
kolb2012,,1,TRZAW,FALSE,NA,6000000,TRUE,ploughing,mechanic,PRE,no_herbicide,NA,1,crop_yield,NA
kolb2012,,1,TRZAW,FALSE,NA,6000000,TRUE,ploughing,mechanic,PRE,no_herbicide,NA,1,net_income,NA
gholamhoseini2013,,1,ZEAMX,FALSE,NA,78000,TRUE,ploughing,no_control,NA,no_herbicide,NA,NA,crop_ag_biomass,NA
gholamhoseini2013,,1,ZEAMX,FALSE,NA,78000,TRUE,ploughing,no_control,NA,no_herbicide,NA,NA,crop_yield,10_moisture
iffat2010,2005,1,TRZAW,FALSE,NA,,TRUE,NA,no_control,,no_herbicide,NA,NA,crop_ag_biomass,NA
iffat2010,2005,1,TRZAW,FALSE,NA,,TRUE,NA,no_control,,no_herbicide,NA,NA,crop_ug_biomass,NA
iffat2010,2005,1,TRZAW,FALSE,NA,,TRUE,NA,no_control,,no_herbicide,NA,NA,crop_yield,NA
clay1998,1992,1,ZEAMX,FALSE,NA,61750,TRUE,mixed,chemical,PRE,atrazine,1.1,1,crop_yield,15.5_moisture
clay1998,1993,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,PRE,atrazine,1.1,1,crop_yield,15.5_moisture
clay1998,1994,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,PRE,atrazine,1.1,1,crop_yield,15.5_moisture
clay1998,1992,1,ZEAMX,FALSE,NA,61750,TRUE,mixed,chemical,PRE,alachlor,1.7,1,crop_yield,15.5_moisture
clay1998,1993,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,PRE,alachlor,1.7,1,crop_yield,15.5_moisture
clay1998,1994,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,PRE,alachlor,1.7,1,crop_yield,15.5_moisture
clay1998,1992,1,ZEAMX,FALSE,NA,61750,TRUE,mixed,chemical,POST,atrazine,0.4,1,crop_yield,15.5_moisture
clay1998,1993,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,POST,atrazine,0.6,1,crop_yield,15.5_moisture
clay1998,1994,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,POST,atrazine,0.6,1,crop_yield,15.5_moisture
clay1998,1992,1,ZEAMX,FALSE,NA,61750,TRUE,mixed,chemical,POST,alachlor,0.6,1,crop_yield,15.5_moisture
clay1998,1993,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,POST,alachlor,0.9,1,crop_yield,15.5_moisture
clay1998,1994,1,ZEAMX,FALSE,NA,63700,TRUE,mixed,chemical,POST,alachlor,0.9,1,crop_yield,15.5_moisture
scott1995,,1,TRZAW,FALSE,NA,NA,NA,NA,chemical,POST,chlorsulfuron,0.009,1,crop_yield,NA
scott1995,,1,TRZAW,FALSE,NA,NA,NA,NA,chemical,POST,chlorsulfuron,0.018,1,crop_yield,NA
scott1995,,1,TRZAW,FALSE,NA,NA,NA,NA,chemical,POST,24d,0.420,1,crop_yield,NA
epperlein2014,,1,TRZAW,FALSE,NA,3500000,TRUE,NA,no,NA,NA,NA,0,crop_yield,14_moisture
garcia2007,,1,TRZTU,FALSE,NA,4346776,TRUE,ploughing,no_control,POST,NA,,NA,crop_yield,NA
garcia2007,,1,TRZTU,FALSE,NA,4346776,TRUE,ploughing,chemical,PRE,mix,,NA,crop_yield,NA
garcia2007,,1,TRZTU,FALSE,NA,4346776,TRUE,ploughing,mechanic,POST,NA,,NA,crop_yield,NA
garcia2007,,1,VICSA,FALSE,NA,2830189,TRUE,ploughing,no_control,POST,NA,,NA,crop_yield,NA
garcia2007,,1,VICSA,FALSE,NA,2830189,TRUE,ploughing,chemical,PRE,mix,,NA,crop_yield,NA
garcia2007,,1,VICSA,FALSE,NA,2830189,TRUE,ploughing,mechanic,POST,NA,,NA,crop_yield,NA
garcia2007,,1,HORVX,FALSE,NA,3579952,TRUE,ploughing,no_control,POST,NA,,NA,crop_yield,NA
garcia2007,,1,HORVX,FALSE,NA,3579952,TRUE,ploughing,chemical,PRE,mix,,NA,crop_yield,NA
garcia2007,,1,HORVX,FALSE,NA,3579952,TRUE,ploughing,mechanic,POST,NA,,NA,crop_yield,NA
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,gas_exchange,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,flag_leaf_growth,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,crop_yield,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,crop_height,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,crop_n_uptake,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,crop_leaf_area,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,kernel_weight,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,kernels_per_plant,
iqbal1999,1993,1,TRZAS,FALSE,NA,3160000,TRUE,NA,no_control,NA,no_herbicide,NA,NA,n_ears,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_yield,14_moisture
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_height,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,n_ears,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_ag_biomass,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,kernels_per_plant,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,kernel_weight,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_n_uptake,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_p_uptake,
ponce1995,1992,1,ZEAMX,FALSE,NA,80000,TRUE,ploughing,chemical,POST,primextra,NA,1,crop_k_uptake,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,conventional_tillage,no_control,,NA,NA,NA,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,no_tillage,no_control,,NA,NA,NA,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,reduced_tillage,no_control,,NA,NA,NA,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,conventional_tillage,chemical,POST,iodo+mesosulfuron,14.4,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,no_tillage,chemical,POST,iodo+mesosulfuron,14.4,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,reduced_tillage,chemical,POST,iodo+mesosulfuron,14.4,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,conventional_tillage,organic,POST,sorgaab,NA,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,no_tillage,organic,POST,sorgaab,NA,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,reduced_tillage,organic,POST,sorgaab,NA,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,conventional_tillage,mixed,POST,iodo+mesosulfuron+sorgaab,7.2,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,no_tillage,mixed,POST,iodo+mesosulfuron+sorgaab,7.2,1,,
khaliq2013,,1,ZEAMX,FALSE,NA,3371998,TRUE,reduced_tillage,mixed,POST,iodo+mesosulfuron+sorgaab,7.2,1,,
